id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
10668	lll			lhl'	lhll'	lhl'h	lhll'	lhh'				l
10669	h											l
1067	llh											l
10670	lhh											l
10671	ll											l
10672	lllh											l
10673	lllh			lllh'	lllhl'	llll'h	lllll'	llllh'				l
10674	llh			llh'	llhl'	lll'h	llll'	lllh'				l
10675	llhlh											l
10676	lh											l
10677	llhh											l
10678	llh											l
10679	llh											l
1068	hhllll											l
10680	llh											l
10681	lh											l
10682	lhh			lhh'		lhl'h	lhll'	lhlh'				l
10683	lll											l
10684	lh			lh'	lhl'	ll'h	lll'	llh'				l
10685	lhl											l
10686	lhl											l
10687	lh			lh'	lhl'	llh'	lll'	llh'				l
10688	llllh											l
10689	h			h'	hl'	h'h	hl'	hh'				l
1069	hhl											l
10690	h-											l
10691	hhh											l
10692	hh			hh'	hhl'	hl'h	hll'	hlh'				l
10693	hhl											l
10694	hl			hl'	hll'	hl'h	hll'	hh'				l
10695	hll											l
10696	hh											l
10697	hl											l
10698	hlh			hlh'	hlhl'	hll'h	hlll'	hllh'				l
10699	hlh			hlh'		hll'h	hlll'	hllh'				l
107	lhh											l
1070	hl											l
10700	hlhl											l
10701	hhl			hhh'					hlh'		hh'	l
10702	hhh											l
10703	hhh											l
10704	ll			ll'		ll'h	lll'	lh'				l
10705	lh											l
10706	lhh											l
10707	lhh											l
10708	llh											l
10709	lhh											l
1071	hlll											l
10710	lhh			lhh'	lhhl'	lhl'h	lhll'	lhlh'				l
10711	lhll											l
10712	lhl											l
10713	lll											l
10714	lhh											l
10715	lll											l
10716	lll											l
10717	lhhh			lllh'h		lllh'lh	lllh'll	lllh'lh				l
10718	hl											l
10719	hl											l
1072	hh											l
10720	hlh											l
10721	hll											l
10722	lh			lh'		ll'h	lll'	llh'				l
10723	lh											l
10724	lll											l
10725	lh											l
10726	lh											l
10727	lh			lh'	lhl'	ll'h	lll'	llh'				l
10728	lhlhlh											l
10729	lhh											l
1073	hh											l
10730	lhl											l
10731	lhh											l
10732	lh											l
10733	lhl											l
10734	lh											l
10735	lhhh			lhhh'	lhhhl'	lhhl'h	lhhll'	lhhlh'				l
10736	lhl											l
10737	lll											l
10738	llll											l
10739	llhlh											l
1074	hl											l
10740	lh											l
10741	lh											l
10742	llh											l
10743	llh											l
10744	lll											l
10745	h											l
10746	hh											l
10747	hh			hh'		hl'h	hll'	hlh'				l
10748	hh											l
10749	hlh											l
1075	hh											l
10750	hhl											l
10751	hhh											l
10752	hh											l
10753	hhh			hhh'					hlh'		hhh'	l
10754	hhh											l
10755	hh											l
10756	hl-											l
10757	hll											l
10758	hll			hhl'		hhl'h	hhhl'	hhh'				l
10759	hl											l
1076	hh											l
10760	hh											l
10761	hh											l
10762	hl			hh'					lh'		hh'	l
10763	hh			hh'					lh'		hh'	l
10764	hll											l
10765	hh											l
10766	hh											l
10767	lll											l
10768	llh											l
10769	lll											l
1077	hh											l
10770	lllh			lllh'		llll'h	lllll'	llllh'				l
10771	lh											l
10772	h											l
10773	hh			hh'	hhl'	hl'h	hll'	hlh'				l
10774	hlh											l
10775	hhh											l
10776	hl											l
10777	hllh											l
10778	hll											l
10779	hlh											l
1078	hh											l
10780	hlh			hlh'		hll'h	hlll'	hllh'				l
10781	hlhh											l
10782	hh			hh'	hhl'	hl'h	hll'	hlh'				l
10783	llll											l
10784	llll											l
10785	hl											l
10786	hh			hh'		hl'h	hll'	hlh'				l
10787	h											l
10788	ll											l
10789	lll			ll'l		ll'lh	ll'll	ll'h				l
1079	hhl											l
10790	llh											l
10791	lhh											l
10792	hh											l
10793	hh											l
10794	hlh											l
10795	hll											l
10796	hlh											l
10797	hh			hh'		hl'h	hll'	hlh'				l
10798	hl											l
10799	hllh											l
108	lh											l
1080	hlh											l
10800	lhl			lhl'		lhlh'	lhll'	lhh'				l
10801	lh			lh'	lhl'	ll'h	lll'	llh'				l
10802	lll											l
10803	llll											l
10804	lh											l
10805	hl											l
10806	lh											l
10807	lhh											l
10808	llll											l
10809	lh											l
1081	hh											l
10810	hl											l
10811	h											l
10812	hll			hl'l	hl'll	hl'lh	hl'll	hl'h				l
10813	hhl			hh'l		hh'lh	hh'll	hh'h				l
10814	hl											l
10815	ll			ll'		ll'h	lll'	lh'				l
10816	lhh			lhh'		lhl'h	lhll'	lhlh'				l
10817	llhlhl											l
10818	lh											l
10819	llh											l
1082	hhlh											l
10820	hh			hh'		hl'h	hll'	hlh'				l
10821	h			h'		l'h	ll'	lh'				l
10822	ll											l
10823	llh											l
10824	lllll											l
10825	lh			lh'		ll'h	lll'	llh'				l
10826	lh-											l
10827	llh											l
10828	llh											l
10829	lhlh											l
1083	llhl											l
10830	lh											l
10831	lhh											l
10832	lll			llh'					lh'		lh'	l
10833	llh											l
10834	lll											l
10835	lll											l
10836	lhl			lh'l		lh'lh	lh'll	lh'h				l
10837	lh											l
10838	lll											l
10839	lllhlhh											l
1084	lh lh											l
10840	lhh											l
10841	lll											l
10842	llll											l
10843	h-											l
10844	hlll											l
10845	hh											l
10846	hlh											l
10847	hl			hl'	hll'	hl'h	hll'	hh'				l
10848	hllh											l
10849	hll											l
1085	h											l
10850	hh			hh'	hhl'	hl'h	hll'	hlh'				l
10851	h											l
10852	hl											l
10853	hh											l
10854	hh											l
10855	hll											l
10856	hll											l
10857	hllll											l
10858	hlll											l
10859	hh											l
1086	ll											l
10860	hhl											l
10861	hlll											l
10862	hhhh											l
10863	hll											l
10864	lll			lll'	llll'	lll'h	llll'	llh'				l
10865	hh			hh'		hl'h	hll'	hlh'				l
10866	hl											l
10867	hh											l
10868	hll			hll'		hll'h	hlll'	hlh'				l
10869	ll											l
1087	lh											l
10870	ll											l
10871	lh											l
10872	llh											l
10873	lhh											l
10874	lh											l
10875	lllh											l
10876	lh											l
10877	lh			lh'		ll'h	lll'	llh'				l
10878	hh											l
10879	hllh											l
1088	lll											l
10880	hl											l
10881	hh			hh'					lh'		hh'	l
10882	ll											l
10883	lhl											l
10884	hlh											l
10885	hh											l
10886	h											l
10887	hl											l
10888	hh			hh'		hl'h	hll'	hlh'				l
10889	hh											l
1089	llll											l
10890	h											l
10891	hh											l
10892	hll											l
10893	hhlh											l
10894	hhl											l
10895	hlh											l
10896	hll											l
10897	hh			hh'	hhl'	hl'h	hll'	hlh'				l
10898	hh											l
10899	hh			hh'	hhl'	hl'h	hll'	hlh'				l
109	lh											l
1090	llll											l
10900	hllh											l
10901	hl			h'l	h'll	h'lh	h'll	h'h				l
