id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
19477	sandalye	y	y	sandaɫje'	sandaɫjedʒi'	sandaɫjeji'm	sandaɫjeji'	sandaɫje'm				l
19478	sandalyecilik	y	y	sandaljedʒi'	sandaljedʒi'	sandaljedʒi'jim	sandaljedʒiji'	sandaljedʒi'm				l
19479	sandık	y	y	sandɯ'k	sandɯktʃɯ'	sandɯ'ɯm	sandɯɯ'	sandɯɯ'm				l
1948	baldır	y	y	baɫdɯ'ɾ	baɫdɯɾdʒɯ'	baɫdɯ'ɾɯm	baɫdɯɾɯ'	baɫdɯɾɯ'm				l
19480	sandıkbalığı	n	n									l
19481	sanduka	y	y	sanduka'	sandukadʒɯ'	sanduka'jɯm	sandukajɯ'	sanduka'm				l
19482	sandviç	y	y	sandvitʃ	sandvitʃtʃi'	sandvi'tʃim	sandvitʃi'	sandvitʃi'm				l
19483	sanem	n	n									l
19484	sangı	y	n	sangɯ'	sangɯdʒɯ'	sangɯ'jɯm	sangɯjɯ'	sangɯ'm				l
19485	sani	y	y	sa:ni:'	sa:ni:dʒi'	sa:ni:'jim	sa:ni:ji'	sa:ni:'m				l
19486	sanı	y	y	sanɯ'	sanɯdʒɯ'	sanɯ'jɯm	sanɯjɯ'	sanɯ'm				l
19487	sanık	y	y	sanɯ'k	sanɯktʃɯ'	sanɯ'ɯm	sanɯɯ'	sanɯɯ'm				l
19488	sanidin	n	n									l
19489	sanih	n	n									l
1949	baldıran	y	y	baɫdɯɾa'n	baɫdɯɾandʒɯ'	baɫdɯɾa'nɯm	baɫdɯɾanɯ'	baɫdɯɾanɯ'm				l
19490	saniye	y	y	sa:nije'	sa:nijedʒi'	sa:nije'jim	sa:nijeji'	sa:nije'm				l
19491	sank	n	n									l
19492	sanki	y	y	sanki'	sankidʒi'	sanki'jim	sankiji'	sanki'm				l
19493	sanlı	y	y	sanɫɯ'	sanɫɯdʒɯ'	sanɫɯ'jɯm	sanɫɯjɯ'	sanɫɯ'm				l
19494	sanma	y	y	sanma'					sana'ɾ	sanma'k	sandɯɾɯ'ɾ	l
19495	sanmak	y	y	sanma'k					sana'ɾ		sandɯɾɯ'ɾ	l
19496	sanrı	y	n	sanɾɯ'	sanɾɯdʒɯ'	sanɾɯ'jɯm	sanɾɯjɯ'	sanɾɯ'm				l
19497	sansar	y	y	sansa'ɾ	sansaɾdʒɯ'	sansa'ɾɯm	sansaɾɯ'	sansaɾɯ'm				l
19498	sansür	y	y	sansy'ɾ	sansyɾdʒy'	sansy'ɾym	sansyɾy'	sansyɾy'm				l
19499	santiar	n	n									l
195	addeğişimi	y	y	a'ddeɟiʃimi	a'ddeɟiʃimdʒi	a'ddeɟiʃimim	a'ddeɟiʃimini	a'ddeɟiʃimim				l
1950	baldız	y	y	baɫdɯ'z	baɫdɯzdʒɯ'	baɫdɯ'zɯm	baɫdɯzɯ'	baɫdɯzɯ'm				l
19500	santimetre	y	y	santime'tɾe	santime'tɾedʒi	santime'tɾejim	santime'tɾeji	santime'tɾem				l
19501	santrahaf	y	y	santɯ'ɾhaf	santɯ'ɾhaftʃɯ	santɯ'ɾhafɯm	santɯ'ɾhafɯ	santɯ'ɾhafɯm				l
19502	santral	y	y	santɾal	santɾaldʒi'	santɾa'lim	santɾali'	santɾali'm				l
19503	santur	n	n									l
19504	santurlu	y	n	santuɾɫu'	santuɾɫudʒu'	santuɾɫu'jum	santuɾɫuju'	santuɾɫu'm				l
19505	sanzatu	y	n	sa'nzatu	sa'nzatudʒu	sa'nzatujum	sa'nzatuju	sa'nzatum				l
19506	sap	y	y	sa'p	saptʃɯ'	sa'pɯm	sapɯ'	sapɯ'm				l
19507	sapa	y	y	sapa'	sapadʒɯ'	sapa'jɯm	sapajɯ'	sapa'm				l
19508	sapan	y	y	sapa'n	sapandʒɯ'	sapa'nɯm	sapanɯ'	sapanɯ'm				l
19509	saparna	n	n									l
1951	baldudak	n	n									l
19510	saparta	n	n									l
19511	sapasağlam	y	y	sapa'sa:ɫam	sapa'sa:ɫamdʒɯ	sapa'sa:ɫamɯm	sapa'sa:ɫamɯ	sapa'sa:ɫamɯm				l
19512	sapçık	n	n									l
19513	sapeli	n	n									l
19514	sapık	y	y	sapɯ'k	sapɯktʃɯ'	sapɯ'ɯm	sapɯɯ'	sapɯɯ'm				l
19515	sapılmak	y	y	sapɯɫma'k					sapɯɫɯ'ɾ		saptɯɾɯ'ɾ	l
19516	sapınç	n	n									l
19517	sapır sapır	y	y	sapɯɾsapɯ'ɾ	sapɯɾsapɯɾdʒɯ'	sapɯɾsapɯ'ɾɯm	sapɯɾsapɯɾɯ'	sapɯɾsapɯɾɯ'm				l
19518	sapıtmak	y	y	sapɯtma'k					sapɯtɯ'ɾ		sapɯttɯɾɯ'ɾ	l
19519	sapkı	n	n									l
1952	bale	y	y	baɫe'	baɫedʒi'	baɫe'jim	baɫeji'	baɫe'm				l
19520	sapkın	y	y	sapkɯ'n	sapkɯndʒɯ'	sapkɯ'nɯm	sapkɯnɯ'	sapkɯnɯ'm				l
19521	saplama	y	y	sapɫama'					sapɫa'ɾ	sapɫama'k	sapɫatɯ'ɾ	l
19522	saplamak	y	y	sapɫama'k					sapɫa'ɾ		sapɫatɯ'ɾ	l
19523	saplı	y	y	sapɫɯ'	sapɫɯdʒɯ'	sapɫɯ'jɯm	sapɫɯjɯ'	sapɫɯ'm				l
19524	sapma	y	y	sapma'					sapa'ɾ	sapma'k	saptɯɾɯ'ɾ	l
19525	sapmak	y	y	sapma'k					sapa'ɾ	saptɯɾɯ'ɾ		l
19526	sapotgiller	n	n									l
19527	sapsağlam	y	y	sa'psa:ɫam	sa'psa:ɫamdʒɯ	sa'psa:ɫamɯm	sa'psa:ɫamɯ	sa'psa:ɫamɯm				l
19528	sapsarı	y	y	sa'psaɾɯ	sa'psaɾɯdʒɯ	sa'psaɾɯjɯm	sa'psaɾɯjɯ	sa'psaɾɯm				l
